Account_ID,Customer_ID,Account_Type,Status
A0963,C0963,Current,Active
A0964,C0964,Savings,Active
A0965,C0965,Current,Active
A0966,C0966,Savings,Active
A0967,C0967,Current,Active
A0968,C0968,Savings,Active
A0969,C0969,Current,Active
A0970,C0970,Savings,Active
A0971,C0971,Current,Active
A0972,C0972,Savings,Active
A0973,C0973,Current,Active
A0974,C0974,Savings,Active
A0975,C0975,Current,Active
A0976,C0976,Savings,Active
A0977,C0977,Current,Active
A0978,C0978,Savings,Active
A0979,C0979,Current,Active
A0980,C0980,Savings,Active
A0981,C0981,Current,Active
A0982,C0982,Savings,Active
A0983,C0983,Current,Active
A0984,C0984,Savings,Active
A0985,C0985,Current,Active
A0986,C0986,Savings,Active
A0987,C0987,Current,Active
A0988,C0988,Savings,Active
A0989,C0989,Current,Active
A0990,C0990,Savings,Active
A0991,C0991,Current,Active
A0992,C0992,Savings,Active
A0993,C0993,Current,Active
A0994,C0994,Savings,Active
A0995,C0995,Current,Active
A0996,C0996,Savings,Active
A0997,C0997,Current,Active
A0998,C0998,Savings,Active
A0999,C0999,Current,Active
A1000,C1000,Savings,Active
